"tree","ucld.rate","arc.rate","arc.omega"
101,0.000458115875038905,0.00045986837298375,0.173728138542912
102,0.000500794839134533,0.000503950973735995,0.161801222949382
103,0.000475926858019428,0.000475906644189554,0.17865929241595
104,0.000529821734110338,0.000523157555351588,0.59949887583624
105,0.000530127006327698,0.000524859764380769,0.785527828281341
106,0.000498713724603204,0.000489908518886108,0.453676720757551
107,0.000459711650018925,0.00047436724147996,1.03957354704346
108,0.000474759046998741,0.000456550868823158,0.52150661414424
109,0.000411221180166923,0.00040024979648982,0.931121769797765
110,0.000503772769738545,0.000501592293938675,0.544925832291342
111,0.000541908056722922,0.000536549846474849,1.00910277282867
112,0.000471979587824989,0.000486469692701802,1.11737249705218
113,0.000528001162347332,0.000533650054197714,1.43928245324749
114,0.000530023771838213,0.000509411870803549,1.41840296648531
115,0.000535971970450721,0.000536266732636542,0.959362365456108
116,0.000492977601518134,0.000479475111995484,2.23807998042522
117,0.00059254280318069,0.000600218727889502,1.74436816402364
118,0.000553178226387363,0.000539345829455115,1.97676850989386
119,0.000523875409274186,0.000511287772146286,2.05675699651516
120,0.000523100857048141,0.000509108245538219,2.57957213944126
121,0.00042219408484038,0.00042687940528594,1.64937360245133
122,0.000507894492468919,0.000484711319430125,1.6314836480744
123,0.000509210024763707,0.0004502052312729,2.52010065091181
124,0.000489079494036267,0.000448352157121558,2.17753783279312
125,0.000528600929965133,0.00052004507194185,2.55018882818641
126,0.00051102709903749,0.000481638187402167,2.03134105485524
127,0.000544721259492208,0.000501965655132296,2.42617583143604
128,0.000573135690124064,0.000497584473240359,3.33693935855165
129,0.000490125341376865,0.000462089733118298,2.7555851625621
130,0.000556618189626937,0.000501380209250278,2.71713776279753
131,0.000457054518311238,0.000473357330052361,2.96166565806401
132,0.000534230743500305,0.000424647260332787,3.55840231031511
133,0.00045890956039314,0.000427451320228279,2.24118775679198
134,0.000472434624876199,0.000423665933358918,2.41559536482349
135,0.000534857516558366,0.000555683270723599,3.51063718881898
136,0.000452069903966744,0.000421261604066468,2.73519705900048
137,0.000534488701741877,0.000500539159816567,2.35463258144174
138,0.000542213003731726,0.000461138313930323,3.07807737219995
139,0.000490220310921472,0.000458359144883015,2.89540201613201
140,0.000491940514669409,0.000477003403287557,3.20164035121942
141,0.00059429949064723,0.000521382348950585,4.34736176911442
142,0.000551802559929288,0.000504354033793171,2.34351348220386
143,0.000660499513817096,0.000500301671364221,5.53839738447475
144,0.000563313723302267,0.00048356815327604,3.38752469260684
145,0.000617199128608655,0.000575764940781695,4.28628200620014
146,0.000568416746723016,0.000536695508076567,3.29310475395943
147,0.000601613202059735,0.000541744168598474,3.65003934632972
148,0.000600329161456687,0.000501957192836411,5.30534242421319
149,0.000466524251369824,0.000413908873517331,3.60110878192373
150,0.000370871115896066,0.000358724574314024,3.17203505251858
151,0.000552192700618921,0.000484458509688477,3.28171244902552
152,0.000682268269908238,0.000505364583829233,5.56596355865714
153,0.00046409711422719,0.000394413907403248,3.76845612144106
154,0.000501890075565441,0.000442456756482765,3.6690112752859
155,0.000489267984477206,0.000385313651122576,3.41378842401566
156,0.000514993775019897,0.000374894685986578,4.7356490169318
157,0.000541607949283328,0.000506085690842523,4.54637469170326
158,0.000537324137284762,0.000493798579114515,3.73874653940659
159,0.000519803862081683,0.000446117847057983,5.03464788101304
160,0.000592299792837042,0.000571014024622516,4.91372033880196
161,0.000559801899507452,0.000447907410924926,5.7405544921669
162,0.000540060979640329,0.000461553026334062,4.59591543390281
163,0.000519325193388577,0.000477795582522188,6.06407673231646
164,0.000589201235434858,0.000560510721541912,4.00701423515453
165,0.000749598506527248,0.00047118429741941,6.27578595451329
166,0.000859705965030776,0.000579200685400442,7.87359910524237
167,0.000503839144390727,0.000471720712375671,4.29463815135369
168,0.000592884992492051,0.000453254848241858,5.36814342599124
169,0.000510518622401501,0.000396758733590784,5.32611444685229
170,0.000756473710258833,0.000536345934311071,5.19569873468458
171,0.000539834951376608,0.00038525784105733,5.78348479820433
172,0.000565850573552284,0.000419075023302132,5.9698293846583
173,0.000597574947441659,0.00051280683144931,5.48790238414594
174,0.000700180306648708,0.000474468179019774,5.40295550838008
175,0.000536067644557118,0.000470550504393319,4.39876767107759
176,0.000640521919701316,0.000475737348124211,5.41229978596006
177,0.000542239596276072,0.000411980520737718,4.94394127555124
178,0.000773910815065611,0.000509465293747843,7.37433578608379
179,0.000593706143876219,0.000463579613811828,5.31324419833636
180,0.000610441469244402,0.000443798952631186,6.18681591943642
181,0.000545861113182483,0.00039459631690678,7.15809080224752
182,0.000880418545855686,0.000522197881444364,7.31639685537381
183,0.000707413150685798,0.000398965847906623,7.00980226130364
184,0.000695123128351395,0.000502968636209481,6.06469179105346
185,0.000572717940262808,0.00037946912345955,7.52633567868189
186,0.000658030896050795,0.000399730032687928,7.2148373386178
187,0.000940413467727434,0.00057648262660144,8.9800002594672
188,0.000563894126797053,0.000376264945919943,7.17319617480523
189,0.00107830703915554,0.000659756095989043,10.6506337801294
190,0.000870746094245081,0.000544785379598319,7.36229225903399
191,0.000858674652802523,0.000430161355532739,8.37507830749048
192,0.000688903152250083,0.000538777649812207,6.11612526369004
193,0.000697173046991074,0.000459576914205317,6.85287906286756
194,0.000412144918431597,0.000348094259296913,5.32042831307461
195,0.000608681899184068,0.000363126740009992,6.29491976109651
196,0.000797566821414751,0.000523732820220582,8.50267497852429
197,0.000738420044656534,0.00042664288242385,8.37605153212055
198,0.000547761949316314,0.000318591568508008,5.36776969707351
199,0.000718273460734637,0.000508682624125015,8.18883753917311
200,0.000590666079971076,0.000446258973033022,6.19016949217228
